FEN;d19;d20
1B1kr3/5Rp1/pp2p3/2b1P2p/8/8/PP2KPPP/8 b - - 0 24;-94;-98
1B1kr3/6b1/p1R1p2p/1p1r2p1/P5B1/5P1P/4K1P1/8 b - - 0 36;227;236
1B1kr3/6b1/p1p1p2p/1p1r2p1/P5B1/5P1P/4K1P1/2R5 w - - 0 35;-220;-236
1B1kr3/6pp/5p2/p2p1P2/8/7P/P2bp1P1/1R5K w - - 4 32;-628;-641
1B1kr3/6pp/p3Q2n/P7/6P1/3p3P/3N1P2/4R1K1 w - - 1 38;1;1
1B1kr3/7R/3p3b/8/5P2/1PQ5/P3q1PP/6K1 b - - 4 47;0;0
1B1kr3/7R/3p3b/8/5P2/1PQ5/P3q1PP/6K1 b - - 8 49;0;0
1B1kr3/7R/3p3b/8/5P2/1PQ5/P3qKPP/8 w - - 3 46;0;0
1B1kr3/7R/3p3b/8/5P2/1PQ5/P3qKPP/8 w - - 7 48;0;0
1B1kr3/7R/3p3b/8/5P2/1PQ5/P4KPP/3q4 b - - 2 46;0;0
1B1kr3/7R/3p3b/8/5P2/1PQ5/P4KPP/3q4 b - - 6 48;0;0
1B1kr3/7R/3p3b/8/5P2/1PQ5/P5PP/3q2K1 w - - 1 45;0;0
1B1kr3/7R/3p3b/8/5P2/1PQ5/P5PP/3q2K1 w - - 5 47;0;0
1B1kr3/7R/3p3b/8/5P2/1PQ5/P5PP/3q2K1 w - - 9 49;0;0
1B1kr3/7R/3p3b/8/5Pq1/1P3r2/P5PP/2Q3K1 b - - 0 44;0;0
1B1kr3/7R/3p3b/8/5Pq1/1PQ5/P5PP/6K1 b - - 0 45;0;0
1B1kr3/7R/3p3b/8/5Pq1/1Pr5/P5PP/2Q3K1 w - - 1 44;0;0
1B1kr3/8/1p5b/1PpP4/4Np2/3P1P2/2P2K2/8 b - - 3 40;-95;-89
1B1kr3/8/p1R1p2p/1p1rb1p1/P5B1/5P1P/4K1P1/8 w - - 1 36;-229;-231
1B1kr3/p2b1pp1/1r2p2p/q2n4/3Q1P2/3B4/P5PP/1R2R1K1 b - - 7 23;322;324
1B1kr3/p2b1pp1/1r2p2p/q2n4/3Q1P2/3B4/P5PP/2R1R1K1 w - - 6 22;-77;-70
1B1kr3/p2b1pp1/2r1p2p/q2n4/3Q1P2/3B4/P5PP/2R1R1K1 b - - 5 22;74;73
1B1kr3/p2b3p/1p3r2/2p2p1n/2B4P/2P2Pp1/PP4P1/3R1RK1 b - - 3 26;-162;-163
1B1kr3/p2n2p1/B1p5/Pp2p2p/4P2P/P4N2/2P3P1/1K1R4 b - - 0 31;-1107;-1122
1B1kr3/p3n3/Pp3p2/1b1p3p/2pP3P/2P1RpPB/2P2P2/6K1 b - - 7 34;-34;-26
1B1kr3/p3n3/bp3p2/3p3p/2pP3P/2P1RpPB/2P2P2/6K1 w - - 0 34;128;134
1B1kr3/p3n3/bp3p2/3p3p/2pP3P/2P2RPB/2P2P2/6K1 b - - 0 35;-12;-34
1B1kr3/p4pp1/Bnp1b1p1/R2p4/3P2P1/2P2P2/2P2K1P/8 b - - 10 41;-113;-116
1B1kr3/p5pp/1nr2p2/3q4/2p2QBP/3p2P1/P4P2/3R2K1 b - - 7 30;578;575
1B1kr3/p6p/1n5r/3q2p1/2p3B1/3p1PP1/P7/2QR2K1 b - - 0 33;4610;4617
1B1kr3/p6p/1n5r/3q2p1/2p3B1/3p2P1/P4P2/2QR2K1 w - - 2 32;-1829;-2224
1B1kr3/p6p/1n5r/6p1/2pq2B1/3p1PP1/P7/2QR1K2 b - - 2 34;2122;2370
1B1kr3/p6p/1n5r/6p1/2pq2B1/3p1PP1/P7/2QR2K1 w - - 1 33;-1820;-1894
1B1kr3/p6p/1n6/6p1/2pq2B1/3p1PP1/P5K1/2QR3r b - - 4 35;594;597
1B1kr3/p6p/1n6/6p1/2pq2B1/3p1PP1/P7/2QR1K1r w - - 3 34;-556;-579
1B1kr3/p6p/1n6/6p1/2pq2B1/5PP1/P2Q2K1/3R3r b - - 0 36;427;492
1B1kr3/p6p/1n6/6p1/2pq2B1/5PP1/P2p2K1/2QR3r w - - 0 35;-432;-416
1B1kr3/p6p/1nr2p2/3q2P1/2p2QB1/3p2P1/P4P2/3R2K1 b - - 0 31;558;571
1B1kr3/p6p/1nr2p2/3q2p1/2p2QBP/3p2P1/P4P2/3R2K1 w - g6 0 30;-528;-529
1B1kr3/p6p/1nr5/3q2p1/2p2QB1/3p2P1/P4P2/3R2K1 w - - 0 31;-559;-575
1B1kr3/p6p/1nr5/3q2p1/2p3B1/3p2P1/P4P2/2QR2K1 b - - 1 32;1586;1610
1B1kr3/p6p/2p2p2/2Nn4/8/1P2n3/P2K2PP/4R3 b - - 10 35;-92;-85
1B1kr3/pB3pp1/Pp6/3p2Pp/3P3P/2P2P2/4nK2/R7 b - - 0 32;-879;-914
1B1kr3/pB3pp1/Pp6/3p2Pp/3P3P/2n2P2/5K2/2R5 b - - 1 33;-868;-891
1B1kr3/pB3pp1/Pp6/3p2Pp/3P3P/2n2P2/5K2/R7 w - - 0 32;895;918
1B1kr3/pR4pp/4Pp2/3p1P2/2pP4/r1Pp3P/P5P1/6K1 w - - 2 35;4;4
1B1kr3/pb1p4/1p4Rp/2rP1p2/7b/3B1P2/PP6/1K1R4 b - - 4 26;16;9
1B1kr3/pb1p4/1p4Rp/3r1p2/7b/3B1P2/PP6/1K1R4 w - - 0 26;-6;-3
1B1kr3/pp1bbrp1/4p1q1/2pp2Pp/5P1P/2PP2KB/PP2Q3/4RR2 b - - 6 31;-107;-100
1B1kr3/pp1r2pp/8/4p3/6P1/8/P1R2P1P/1R4K1 b - - 2 28;-362;-364
1B1kr3/pp2p1b1/2p1B2p/6p1/3r4/5P1P/P3K1P1/2R5 b - - 2 31;189;215
1B1kr3/pp2p1b1/2pr3p/6p1/6B1/5P1P/P3K1P1/2R5 b - - 4 32;205;212
1B1kr3/pp2p1b1/2prB2p/6p1/8/5P1P/P3K1P1/2R5 w - - 3 31;-210;-210
1B1kr3/pp3ppp/5n2/1PP5/3P4/8/P6p/1R5K b - - 2 25;166;160
1B1kr3/pp4p1/5b2/1Pp5/3n2B1/3R4/1P3PP1/6K1 b - - 12 34;41;56
1B1kr3/r3bQpp/p4n2/1p1B4/8/8/PP3PPP/R5K1 b - - 0 20;-1275;-1317
1B1kr3/rb1p1ppp/pN6/2p5/8/8/PPP2PPP/2K2B1R b - - 2 20;-294;-306
1B1kr3/rq4pp/p1p2b2/2Pp4/1P2bQB1/2P5/P5PP/R4RK1 b - - 10 28;-533;-546
1B1krb1r/1b3pp1/p1pp1q1p/1p3B2/8/2Pp2Q1/PP3PPP/4RRK1 w - - 2 21;410;419
1B1krb1r/Np1b2pp/p4n2/8/8/1P4P1/1P3PBP/R2R2K1 b - - 7 24;-186;-192
1B1krb2/1p6/5p2/3p2p1/1p1P2P1/8/1P3P2/2R2K2 b - - 0 29;130;150
1B1krb2/1p6/5p2/3p2p1/1p1P2p1/7P/1P3P2/2R2K2 w - - 0 28;-149;-152
1B1krb2/1p6/5p2/3p2pp/1p1P2P1/7P/1P3P2/2R2K2 b - - 0 28;127;133
1B1krb2/1p6/5p2/3p2pp/1p1P4/6PP/1P3P2/2R2K2 w - - 1 27;-109;-103
1B1krbQ1/p2n2p1/1p5p/2q2PP1/8/3p1R2/PP2P1KP/R7 b - - 0 25;529;552
1B1krbn1/pp1q4/5p2/1Pp2P2/P1PpN1P1/6Q1/6K1/4R3 w - - 7 33;496;524
1B1krbn1/pp3q2/5p2/1Pp2P2/P1PpN1P1/6Q1/6K1/4R3 b - - 6 33;-335;-338
1B1n1b1r/1p1bkpp1/p2Np1p1/7n/2B5/8/PP3PPP/2KR3R b - - 3 18;-199;-198
1B1n1b1r/1p1bkpp1/p2Np1p1/7n/2B5/8/PP3PPP/R3K2R w KQ - 2 17;186;197
1B1n1b1r/3bkpp1/p2Np1p1/1p5n/2B5/8/PP3PPP/2KR3R w - b6 0 18;193;177
1B1n1b1r/3bkpp1/p2Np1p1/1p5n/8/1B6/PP3PPP/2KR3R b - - 1 19;-197;-191
1B1n1b1r/3bkpp1/p2Npnp1/1p6/8/1B6/PP3PPP/2KR3R w - - 2 19;200;190
1B1n1b2/1pR3pk/p4n2/P4p2/8/8/1P3PPP/5K2 b - - 3 33;118;114
1B1n1b2/1pR3pk/p4n2/P4p2/8/8/1P3PPP/6K1 w - - 2 32;-65;-53
1B1n1b2/2p1k3/5pp1/1P1Pp2p/2N4P/6P1/5P2/6K1 w - - 5 36;98;104
1B1n1b2/2p2k2/5pp1/1P1Pp2p/2N4P/6P1/5P2/6K1 b - - 4 36;-105;-111
1B1n1b2/3k3p/6p1/pp1p1pP1/2pP1P1P/2P1NK2/PP6/8 b - - 14 36;15;20
1B1n1b2/3k3p/6p1/pp1p1pP1/2pP1P1P/2P2K2/PP6/3N4 w - - 13 35;-6;-6
1B1n1b2/5k2/2p2pp1/1pPp2p1/pP1P2P1/P3K2P/4NP2/8 b - - 3 38;12;16
1B1n1b2/5k2/2p2pp1/1pPp2p1/pP1P2P1/P4K1P/4NP2/8 w - - 2 37;-13;-13
1B1n1b2/7p/2k3p1/pp1p1pP1/2pP1P1P/2P1NK2/PP6/8 w - - 15 36;-9;-9
1B1n1b2/7p/2k3p1/pp1p1pP1/2pP1P1P/P1P1NK2/1P6/8 b - - 0 37;0;0
1B1n1b2/p2R2p1/4P2p/3p1k1P/n1pP4/2P5/P5PK/8 b - - 0 33;26;27
1B1n1b2/p2k3p/2p2pp1/Npn5/1PN1P3/P4K2/6PP/8 w - b6 0 26;-3;0
1B1n1b2/p2r1k1p/1p6/4RN2/1P2pP2/6P1/P6P/6K1 w - - 1 31;127;122
1B1n1b2/p2r1k1p/1p6/5N2/1P2RP2/6P1/P6P/6K1 b - - 0 32;-74;-74
1B1n1b2/p3k2p/5np1/2p3N1/2P5/PP1bP3/6PP/3R2K1 b - - 0 31;-128;-134
1B1n1b2/p3k2p/5np1/2p3N1/2P5/PP2P3/2b3PP/3R2K1 w - - 1 31;128;129
1B1n1b2/p3k2p/5np1/2p3N1/2P5/PP2P3/2bR2PP/6K1 b - - 2 32;-137;-133
1B1n1b2/pp1k3p/2p1npp1/N1P5/1PN1P3/P7/5KPP/8 b - - 4 25;-24;-29
1B1n1b2/pp1k3p/2p2pp1/N1n5/1PN1P3/P4K2/6PP/8 b - - 1 26;80;90
1B1n1b2/pp1k3p/2p2pp1/N1n5/1PN1P3/P7/5KPP/8 w - - 0 25;31;28
1B1n1bk1/1p1b4/p1p3pp/3p1p2/3P1P1P/P1PBK1P1/1P6/6N1 b - - 2 37;-44;-50
1B1n1bk1/1p1b4/p1p3pp/3p1p2/3P1P1P/P1PBK1PN/1P6/8 w - - 1 36;51;46
1B1n1bk1/1p1b4/p5pp/2pp1p2/3P1P1P/P1PBK1P1/1P6/6N1 w - - 0 37;46;52
1B1n1bk1/1p1r1ppp/3P2n1/p3r3/P1B1P3/8/1PP3PP/R2R2K1 b - - 4 31;215;225
1B1n1bk1/1p1r1ppp/3P2n1/p3r3/P3P3/1B6/1PP3PP/R2R2K1 w - - 3 30;-209;-203
1B1n1bk1/7p/2p2pB1/1pPp2p1/pP1P2P1/P6P/4NPK1/8 b - - 0 36;0;0
1B1n1bk1/7p/2p2pb1/1pPp2p1/pP1P2P1/P2B3P/4NPK1/8 w - - 2 35;-13;-13
1B1n1bk1/8/2p2pp1/1pPp2p1/pP1P2P1/P4K1P/4NP2/8 b - - 1 37;11;11
1B1n1bk1/8/2p2pp1/1pPp2p1/pP1P2P1/P6P/4NPK1/8 w - - 0 36;-5;-3
1B1n1bk1/p4p1p/1p2p1p1/1P2P3/P1N5/2n2N2/5PPP/6K1 b - - 2 31;-37;-44
1B1n1bk1/p4p1p/1p2p1p1/1P2P3/n1N5/5N2/5PPP/6K1 w - - 0 31;42;43
1B1n1br1/pp1npk2/1q2p1p1/3p3p/3P2BN/3Q3P/P4PP1/2R1R1K1 b - - 0 23;-277;-283
1B1n1brk/p6p/1p2P1p1/2p2P2/3pR1P1/1P6/P6P/5R1K b - - 0 36;-620;-646
1B1n1brk/p6p/1p2P1p1/2p2P2/3pq1P1/1P6/P6P/4RR1K w - - 0 35;619;625
1B1n1brk/p6p/1pq1P1p1/2p2P2/3pQ1P1/1P6/P6P/4RR1K b - - 0 35;-655;-657
1B1n1k1r/1p3ppp/p3b3/8/2B1p3/2P5/P1P2PPP/2K4R w - - 2 16;15;13
1B1n1k1r/1p3ppp/p3b3/8/2B1p3/2P5/P1P2PPP/2KR4 b - - 3 17;0;0
1B1n1k1r/1p3ppp/p3b3/8/4p3/1BP5/P1P2PPP/2K4R b - - 3 17;5;2
1B1n1k1r/1p3ppp/p3b3/8/4p3/2P5/P1P1BPPP/2K4R w - - 2 16;26;26
1B1n1k1r/1p3ppp/p3b3/8/4p3/2P5/P1P1BPPP/2KR4 b - - 3 17;-32;-24
1B1n1k1r/1p3ppp/p3b3/8/4p3/2P5/P1PKBPPP/7R b - - 3 17;-17;-11
1B1n1k1r/1p4pp/p3b3/5p2/4p3/1BP5/P1P2PPP/2K4R w - f6 0 17;6;0
1B1n1k1r/1p4pp/p3b3/5p2/4p3/1BP5/P1P2PPP/2KR4 b - - 1 18;0;0
1B1n1k1r/3b2b1/3N1npp/1p2p3/2p1P3/2P4P/1PB2PP1/R3R1K1 w - - 1 21;482;468
1B1n1k1r/pp3ppp/4b3/8/4p3/2P5/P1P2PPP/2K2B1R b - - 0 15;-1;5
1B1n1k2/1p1rn3/p1p1pb1p/N1Pp1p1P/1P1P1P2/3BP3/1P2K3/6R1 w - - 1 30;93;91
1B1n1k2/1p2b1pp/p1p5/8/P1P5/1P2P3/b3BP2/6K1 b - - 1 30;546;552
1B1n1k2/1p2b1pp/p1p5/8/P1P5/1P2PB2/b4P2/6K1 w - - 0 29;-458;-465
1B1n1k2/1p2b1pp/p1p5/8/P1P5/1b2P3/4BP2/6K1 w - - 0 30;-575;-585
1B1n1k2/1p2b1pp/p1p5/P7/2P5/1b2P3/4BP2/6K1 b - - 0 31;543;560
1B1n1k2/1p2b1pp/p7/P1p5/2P2P2/1b2P3/4B3/6K1 b - f3 0 32;532;553
1B1n1k2/1p2b1pp/p7/P1p5/2P5/1b2P3/4BP2/6K1 w - - 0 31;-528;-543
1B1n1k2/1p2b3/p2p4/N2Pp2p/4Pp2/1P3P2/P6P/6K1 w - - 7 34;89;91
1B1n1k2/1p2bpp1/p3b2p/8/4B3/1NP5/PP4PP/7K w - - 0 21;10;2
1B1n1k2/1p2bppp/p1b5/2p5/3pN3/1B1P2P1/PPP2P1P/6K1 w - - 0 24;55;49
1B1n1k2/1p3rpp/1R6/4P3/8/7P/7K/8 b - - 0 33;61;62
1B1n1k2/1p3rpp/1R6/8/4P3/7P/7K/8 w - - 4 32;-6;-6
1B1n1k2/2n3p1/1b2pp2/p2p3N/Pp1P1PP1/1P1BP3/4K3/8 b - - 0 45;-15;-12
1B1n1k2/2n3p1/1b2pp2/p2p3N/Pp1P2P1/1P1BPP2/4K3/8 w - - 16 44;20;14
1B1n1k2/2p2pbp/1p1n2p1/1B2p3/4P3/2N5/PPP2PPP/2K5 b - - 5 19;-147;-157
1B1n1k2/4b2p/pp3p2/2pB1Pp1/6P1/P1P1K3/1P5P/8 b - - 3 38;-103;-98
1B1n1k2/4b2p/pp3p2/2pB1Pp1/6P1/P1P5/1P3K1P/8 w - - 2 37;108;113
1B1n1k2/4bppp/B3p3/p1p5/P7/1PP4P/2bN1PP1/6K1 w - - 4 25;37;37
1B1n1k2/5p1p/5b2/1p4p1/1P1N4/2pKP1P1/5P1P/8 b - - 3 36;-72;-62
1B1n1k2/5p1p/5b2/1p4p1/1P6/2pKP1P1/2N2P1P/8 w - - 2 35;133;127
1B1n1k2/6p1/pp3p1p/2b4P/4B3/2P5/P3KPP1/8 w - - 0 25;46;42
1B1n1k2/6pp/pp3p2/2b4P/4B3/2P5/P3KPP1/8 b - - 1 25;-43;-43
1B1n1k2/6pp/pp3p2/2b4P/8/2P2B2/P3KPP1/8 w - - 0 24;41;42
1B1n1k2/7p/1P1p2p1/3P1p2/2N1p3/2b5/5PPP/6K1 b - - 2 37;-127;-133
1B1n1k2/7p/6p1/5n2/R5P1/P6P/1b3P2/6K1 b - g3 0 43;-100;-94
1B1n1k2/7p/6p1/5n2/R7/P6P/1b3PP1/6K1 w - - 1 42;89;101
1B1n1k2/7p/6p1/8/1R1n2P1/P1b4P/5P2/6K1 w - - 3 44;106;108
1B1n1k2/7p/6p1/8/1R1n2P1/P6P/1b3P2/6K1 b - - 2 44;-81;-83
1B1n1k2/7p/6p1/8/2Rn2P1/P1b4P/5P2/6K1 b - - 4 45;-102;-84
1B1n1k2/7p/6p1/8/R2n2P1/P6P/1b3P2/6K1 w - - 1 43;102;108
1B1n1k2/p3p1bp/bp2Bpp1/2p5/2P5/P4N1P/1P3PP1/6K1 w - - 3 32;-6;-5
1B1n1k2/p3p1bp/bp3pp1/2pB4/2P5/P4N1P/1P3PP1/6K1 b - - 4 33;34;33
1B1n1k2/p4P1R/b3p3/3p2p1/2pP2P1/2P3K1/P2r1PB1/8 w - - 2 34;1;1
1B1n1k2/p4p1p/1p2pPp1/2p5/2P5/5P2/PP4PP/6K1 b - - 4 33;60;69
1B1n1k2/p4p2/1p3bpP/2pK4/P6P/1P1BP3/8/8 b - - 5 49;-288;-293
1B1n1k2/p4p2/1p4pP/2pK4/P6b/1P1BP3/8/8 w - - 0 49;420;426
1B1n1k2/p5bp/bp2ppp1/2pB4/2P5/P4N1P/1P3PP1/6K1 w - - 0 33;-51;-40
1B1n1k2/p5pp/1p3p2/2b4P/8/2P2B2/P3KPP1/8 b - - 1 24;-50;-40
1B1n1k2/pp2b1pp/2p5/8/P1P5/1P2PB2/b4P2/6K1 b - - 2 29;495;501
1B1n1k2/pp2bpp1/4b2p/8/4B3/1NP5/PP4PP/7K b - - 1 21;0;0
1B1n1k2/pp2bppp/2b5/2p5/3pN3/1B1P2P1/PPP2P1P/6K1 b - - 9 24;3;1
1B1n1k2/pp4p1/1np3P1/5B2/1PP5/5K2/P7/8 b - - 12 42;-79;-91
1B1n1k2/pp4p1/2p3P1/5B2/1Pn5/5K2/P7/8 w - - 0 42;84;91
1B1n1n1k/1pp3bp/3p4/r4B2/4N3/2P4K/PP5P/5R2 b - - 2 28;55;54
1B1n1n2/1p6/pK6/5k2/8/P7/2P5/8 w - - 2 49;-78;-127
1B1n1nR1/p7/1p6/1Pkp3p/r5p1/P5P1/7P/4RBK1 b - - 0 41;-793;-796
1B1n1nr1/p1R5/1p1k4/1P1p3p/r5p1/P5P1/7P/4RBK1 w - - 2 39;3;3
1B1n1nr1/p1Rk4/1p6/1P1p3p/r5p1/P5P1/7P/4RBK1 b - - 1 39;-3;-3
1B1n1nr1/p2k4/1p2p3/1P1P2pp/2r5/P5PB/7P/R3R1K1 b - - 1 36;-259;-258
1B1n1nr1/p2k4/1p2p3/1P1P3p/2r3p1/P5P1/7P/R3RBK1 b - - 1 37;-260;-259
1B1n1nr1/p2k4/1p2p3/1P1P3p/2r3p1/P5PB/7P/R3R1K1 w - - 0 36;294;303
1B1n1nr1/p2k4/1p2p3/1P1P3p/r5p1/P5P1/7P/2R1RBK1 b - - 3 38;-328;-344
1B1n1nr1/p2k4/1p2p3/1P1P3p/r5p1/P5P1/7P/R3RBK1 w - - 2 37;287;287
1B1n1nr1/p2k4/1p6/1P1p3p/r5p1/P5P1/7P/2R1RBK1 w - - 0 38;4;4
1B1n1nr1/p5R1/1p1k4/1P1p3p/r5p1/P5P1/7P/4RBK1 b - - 3 40;-811;-807
1B1n1nr1/p5R1/1p6/1Pkp3p/r5p1/P5P1/7P/4RBK1 w - - 4 40;827;843
1B1n1q2/1ppn2rk/p2p1b1p/3B1p2/5N2/2PP2PP/PP3Q2/4R1RK b - - 0 31;-620;-632
1B1n1qk1/r6p/1p3rpR/3p1pN1/3P2P1/2PB2P1/P1Q2PK1/8 b - - 0 25;-183;-187
1B1n1r1k/1p2ppbp/p4npN/2p5/q1N4R/2PP1Q2/1P3PPP/4R1K1 b - - 0 23;-347;-348
1B1n1r1k/2q3bp/4b1p1/1p3pP1/2N2P2/1QPP4/P5BP/R4RK1 b - - 0 24;-287;-310
1B1n1r1k/3Nppbp/p5pN/1pp4n/7R/2qP1Q2/5PPP/5RK1 b - - 3 27;-525;-536
1B1n1r1k/3qbppp/p2ppn2/8/Np2bP2/1N3BQ1/PPP2RPP/5RK1 b - - 0 19;24;29
1B1n1r1k/4bppp/p2ppn2/8/qp2bP2/1N3BQ1/PPP2RPP/5RK1 w - - 0 19;-23;-25
1B1n1r1k/4ppbp/p4npN/1pp1N3/7R/1qPP1Q2/5PPP/4R1K1 b - - 1 25;-255;-228
1B1n1r1k/4ppbp/p4npN/1pp1N3/7R/2qP1Q2/5PPP/4R1K1 w - - 0 25;215;221
1B1n1r1k/4ppbp/p4npN/1pp1N3/7R/2qP1Q2/5PPP/5RK1 b - - 1 26;-202;-208
1B1n1r1k/4ppbp/p4npN/1pp5/2N4R/1qPP1Q2/5PPP/4R1K1 w - - 0 24;214;212
1B1n1r1k/4ppbp/p4npN/1pp5/q1N4R/1PPP1Q2/5PPP/4R1K1 b - - 0 24;-219;-242
1B1n1r1k/4ppbp/p4npN/1pp5/q1N4R/2PP1Q2/1P3PPP/4R1K1 w - b6 0 23;355;361
1B1n1r1k/4ppbp/p5pN/1pp1N2n/7R/2qP1Q2/5PPP/5RK1 w - - 2 26;527;546
1B1n1r1k/4q1pp/pp6/3B4/PP5b/6Q1/2P3PP/4R2K w - - 1 28;-202;-211
1B1n1r1k/5ppp/p7/3P4/2N2nb1/3B1N2/1P3PPP/r1R3K1 w - - 0 25;363;367
1B1n1r1k/5ppp/p7/3P4/2N2nb1/r2B1N2/1P3PPP/R1R3K1 b - - 0 25;-367;-369
1B1n1r2/1p2b1kp/3pp3/4p1p1/P1r1P1B1/2P5/1P1R1PPP/3R2K1 b - - 2 25;-132;-134
1B1n1r2/1p4R1/p4p2/8/7k/4P3/PP3P2/1K6 b - - 1 30;-118;-116
1B1n1r2/1p6/p4p2/7k/7P/4P3/PP3P2/1K4R1 b - - 0 29;-153;-151
1B1n1r2/1p6/p4p2/8/7k/4P3/PP3P2/1K4R1 w - - 0 29;147;152
1B1n1r2/p3k1n1/4ppp1/1p1p1b1p/7P/1P4PN/P4PB1/2R3K1 b - - 3 33;126;134
1B1n1r2/rp1R2pk/4p2p/p1b2p2/8/2P3P1/PP3PBP/4R1K1 b - - 2 20;-203;-203
1B1n1rk1/1Pp2pbp/6p1/8/6b1/5N2/PP3PPP/R4RK1 w - - 0 19;356;362
1B1n1rk1/1r1q3p/4p3/p2b2NQ/1ppP4/2P1R3/PP3PP1/4R1K1 w - - 3 26;1140;1157
1B1n1rk1/1r1q3p/4p3/p2b2NQ/1ppP4/2P3R1/PP3PP1/4R1K1 b - - 4 27;-1128;-1167
1B1n1rk1/1r4qp/4p3/p2b2NQ/1ppP4/2P3R1/PP3PP1/4R1K1 w - - 5 27;1027;1039
1B1n1rk1/3p2p1/p1b4p/2p5/2P3PP/P2N2Q1/5K2/3RNB1q w - - 3 36;391;393
1B1n1rk1/3qb1pp/p1p1p3/Q7/2BP4/P7/5PPP/R2R2K1 b - - 0 31;-689;-689
1B1n1rk1/3qb2p/2p3p1/4p3/2P1P1b1/4P1P1/2Q2PBP/R4RK1 b - - 0 23;-387;-406
1B1n1rk1/3qb2p/2p3p1/4p3/2P1p1b1/3PP1P1/2Q2PBP/R4RK1 w - - 0 22;423;425
1B1n1rk1/3qb2p/2p3p1/4pp2/2P1N1b1/3PP1P1/2Q2PBP/R4RK1 b - - 0 22;-418;-436
1B1n1rk1/4b1pp/p4n2/1bpp1p2/5P2/PN2P2N/3P2PP/2RB1R1K b - - 0 27;19;20
1B1n1rk1/4b1pp/p4n2/2Np1p2/5P2/P3P2N/3P2PP/2RB1b1K b - - 0 28;191;197
1B1n1rk1/4b1pp/p4n2/2pp1p2/5P2/PN2P2N/3P2PP/2RB1b1K w - - 0 27;-10;-17
1B1n1rk1/4pp2/6p1/1B1P3p/3b3N/2p4P/1P4PK/5R2 b - - 0 27;-138;-134
1B1n1rk1/4pp2/6p1/1B1P3p/3b3N/7P/1p4PK/5R2 w - - 0 27;148;175
1B1n1rk1/4pp2/6p1/1B1P3p/3b4/5N1P/1p4PK/5R2 b - - 1 28;-170;-163
1B1n1rk1/4ppb1/6p1/1B1P3p/8/5N1P/1p4PK/5R2 w - - 2 28;162;168
1B1n1rk1/4q1pp/pp6/3B4/PP5b/6Q1/2P3PP/4R2K b - - 0 28;201;207
1B1n1rk1/6pp/p4n2/2Rp1p2/5P2/P3P2N/3P2PP/3B1b1K b - - 0 29;184;189
1B1n1rk1/6pp/p4n2/2bp1p2/5P2/P3P2N/3P2PP/2RB1b1K w - - 0 28;-185;-191
1B1n1rk1/p2b1pbp/qp4p1/1RpB2N1/2P5/6P1/P1Q1PP1P/5RK1 b - - 0 19;-433;-446
1B1n1rk1/p2q2pp/n3p3/2p3P1/b1Pp4/P2P2P1/4QPBN/2R1R1K1 b - - 0 25;-279;-298
1B1n1rk1/p2q2pp/n3p3/2p3b1/b1Pp3P/P2P2P1/4QPBN/2R1R1K1 w - - 0 24;289;302
1B1n1rk1/p2q2pp/n3pb2/2p3N1/b1Pp3P/P2P2P1/4QPBN/2R1R1K1 b - - 0 24;-286;-291
1B1n1rk1/p3bp2/b1p3pp/5B2/1P6/P1qP1QN1/2P2PPP/5RK1 b - - 0 22;-201;-206
1B1n1rk1/p3bp2/b1p3pp/5B2/1P6/q2P1QN1/2P2PPP/5RK1 w - - 0 22;263;262
1B1n1rk1/p3bp2/b1p3pp/8/1P2B3/q2P1QN1/2P2PPP/5RK1 b - - 1 23;-151;-153
1B1n1rk1/p4pbp/1p4p1/1qpB2N1/8/6P1/P1Q1PP1P/5RK1 w - - 0 20;432;454
1B1n1rk1/p4pbp/qp4p1/1PpB2N1/8/6P1/P1Q1PP1P/5RK1 b - - 0 20;-432;-437
1B1n1rk1/p4pbp/qp4p1/1bpB2N1/2P5/6P1/P1Q1PP1P/5RK1 w - - 0 19;427;437
1B1n1rk1/pB2b1p1/P1p2p2/2Pp4/1R1P3p/5P1P/3K2P1/8 b - - 2 35;-471;-482
1B1n1rk1/pB2b1p1/P1p5/2Pp1p2/1R1P3p/5P1P/3K2P1/8 w - - 0 35;499;498
1B1n1rk1/r2q3p/4p3/p2b2NQ/1ppP4/2P1R3/PP3PP1/4R1K1 b - - 2 26;-714;-720
1B1n1rk1/rb1qb1pp/1p6/p1p5/2PpN3/P2P1BP1/1P4QP/R3R1K1 b - - 8 24;-35;-24
1B1n1rk1/rp2bpp1/pN3n1p/3p1b2/3P4/1P3N1P/4B1P1/2R2RK1 b - - 3 23;29;17
1B1n2R1/1p1P2kp/5bp1/8/8/1B5P/P2r2P1/7K b - - 6 35;-1116;-1263
1B1n2R1/p7/1p2n3/1Pkp3p/r5p1/P5P1/7P/4RBK1 w - - 1 41;811;818
1B1n2b1/1B1k2P1/3p2p1/2p4p/1pPpP2P/pP1P4/P2K4/8 w - - 15 57;97;104
1B1n2b1/3k2P1/3p2p1/2pB3p/1pPpP2P/pP1P4/P2K4/8 b - - 16 58;-101;-111
1B1n2b1/4k3/2B3p1/1p2K3/1P3P2/8/1P6/8 w - - 17 51;424;418
1B1n2k1/1N2bppp/p7/8/8/2P2B2/bP4PP/7K b - - 0 23;-10;-17
1B1n2k1/1n1P1ppp/8/p2Bp3/8/8/6PP/5K2 w - - 5 35;100;136
